Satyam,1234567890
Elon,7894561230
Shubham,4567891230
Aaryan,1234567890
Aditi,9876543210
Advait,8765432109
Akshay,7654321098
Alisha,6543210987
Ananya,5432109876
Aniket,4321098765
Anisha,3210987654
Anvi,2109876543
Arjun,1098765432
Aryan,9870123456
Avani,8765432101
Ayush,7654321098
Bhavya,6543210987
Chirag,5432109876
Disha,4321098765
Divya,3210987654
Diya,2109876543
Esha,1098765432
Gaurav,9870123456
Harsh,8765432101
Ishaan,7654321098
Jiya,6543210987
Kavya,5432109876
Krish,4321098765
Lavanya,3210987654
Mannat,2109876543
Mayank,1098765432
Mehak,9870123456
Muskan,8765432101
Nandini,7654321098
Navya,6543210987
Neel,5432109876
Niharika,4321098765
Nitin,3210987654
Palak,2109876543
Parth,1098765432
Prisha,9870123456
Raghav,8765432101
Riya,7654321098
Rudra,6543210987
Saanvi,5432109876
Sakshi,4321098765
Samaira,3210987654
Samarth,2109876543
Samridhi,1098765432
Sanvi,9870123456
Sara,8765432101
Shaurya,7654321098
Shreya,6543210987
Siddharth,5432109876
Simran,4321098765
Sneha,3210987654
Sparsh,2109876543
Swara,1098765432
Tanya,9870123456
Tanvi,8765432101
Utkarsh,7654321098
Vansh,6543210987
Vanya,5432109876
Vedansh,4321098765
Vihaan,3210987654
Yash,2109876543
Aarav,1098765432
Aarna,9870123456
Abhinav,8765432101
Aditya,7654321098
Aisha,6543210987
Akansha,5432109876
Akshara,4321098765
Amaira,3210987654
Aman,2109876543
Amaya,1098765432
Anushka,9870123456
Arnav,8765432101
Ayaan,7654321098
Ayushi,6543210987
Bhavika,5432109876
Caleb,4321098765
Dev,3210987654
Divit,2109876543
Eesha,1098765432
Ekansh,9870123456
Fiza,8765432101
Gia,7654321098
Hridyansh,6543210987
Inaya,5432109876
Ira,4321098765
Ishan,3210987654
Ishika,2109876543
Jay,1098765432
Kian,9870123456
Kiaan,8765432101
Kiara,7654321098
Kyra,6543210987
Mahi,5432109876
Mannan,4321098765
Navyansh,3210987654
Neev,2109876543
Parisha,1098765432
